Team ,#sub1,#sub2,#sub3,Phase 2,Phase 1,Final 
Excalibur,"85,9","85,1","85,1","85,9",97.2,"87,03"
NaN,83.6,0,0,"83,6",74.6,"82,7"
Sejong OCR,"77,5",0,0,"77,5",76.0,"77,35"
dalg-gwa gae dul da,72.2,"71,7","75,6","75,6",86.8,"76,72"
ThreeTree,"76,1","76,1",0,"76,1",81.4,"76,63"
camgbi,"75,6",0,0,"75,6",83.5,"76,39"
Pichi,76.2,0,0,"76,2",68.1,"75,39"
Xtreme,73.9,73.7,73.9,"73,9",82.6,"74,77"
NULL,72.5,72.8,72.7,"72,8",85.1,"74,03"
TitanData,"72,7",0,0,"72,7",78.6,"73,29"
ACVcoders,"71,6","71,6","71,9","71,9",83.6,"73,07"
mingith,71.7,0,0,"71,7",82.2,"72,75"
AITrio,"71,5","71,6",0,"71,6",81.4,"72,58"
This_is_a_name,"71,4",0,0,"71,4",82.1,"72,47"
Nothing,"70,8",0,0,"70,8",63.4,"70,06"
404 Gala Dinner,"68,1","56,3",0,"68,1",84.4,"69,73"
ChatGPT6,"67,1",0,0,"67,1",75.0,"67,89"
TP BANK,"62,2",0,0,"62,2",72.7,"63,25"
Oguri Cap,"51,2",0,0,"51,2",56.9,"51,77"
27,0,0,0,0,83.8,"8,38"
Ba Chang Linh Ngu Lam,0,0,0,0,82,"8,2"
Binari,0,0,0,0,81.9,"8,19"
Clover,0,0,0,0,78.5,"7,85"
NoCap,0,0,0,0,77.6,"7,76"
The Copy Pasters,0,0,0,0,74.5,"7,45"
Kanami,0,0,0,0,71.7,"7,17"
Minimal,0,0,0,0,68.9,"6,89"
S4nt0ryu,0,0,0,0,68.4,"6,84"
SS8,0,0,0,0,64.8,"6,48"
Myth,0,0,0,0,57.8,"5,78"
